areaType,areaName,areaCode,date,newDeathsByPublishDate,cumDeathsByPublishDate
nation,Scotland,S92000003,2020-07-01,3,2485
nation,Wales,W92000004,2020-07-01,6,1516
nation,England,E92000001,2020-06-30,151,39187
nation,Northern Ireland,N92000002,2020-06-30,1,551
nation,Scotland,S92000003,2020-06-30,0,2482
nation,Wales,W92000004,2020-06-30,3,1510
nation,England,E92000001,2020-06-29,21,39036
nation,Northern Ireland,N92000002,2020-06-29,1,550
nation,Scotland,S92000003,2020-06-29,0,2482
nation,Wales,W92000004,2020-06-29,3,1507
nation,England,E92000001,2020-06-28,33,39015
nation,Northern Ireland,N92000002,2020-06-28,1,549
nation,Scotland,S92000003,2020-06-28,0,2482
nation,Wales,W92000004,2020-06-28,2,1504
nation,England,E92000001,2020-06-27,94,38982
nation,Northern Ireland,N92000002,2020-06-27,1,548
nation,Scotland,S92000003,2020-06-27,0,2482
nation,Wales,W92000004,2020-06-27,5,1502
nation,England,E92000001,2020-06-26,182,38888
nation,Northern Ireland,N92000002,2020-06-26,0,547
nation,Scotland,S92000003,2020-06-26,2,2482
nation,Wales,W92000004,2020-06-26,2,1497
nation,England,E92000001,2020-06-25,138,38706
nation,Northern Ireland,N92000002,2020-06-25,1,547
nation,Scotland,S92000003,2020-06-25,4,2480
nation,Wales,W92000004,2020-06-25,6,1497
nation,England,E92000001,2020-06-24,141,38568
nation,Northern Ireland,N92000002,2020-06-24,1,546
nation,Scotland,S92000003,2020-06-24,4,2476
nation,Wales,W92000004,2020-06-24,8,1491
nation,England,E92000001,2020-06-23,166,38427
nation,Northern Ireland,N92000002,2020-06-23,0,545
nation,Scotland,S92000003,2020-06-23,0,2472
nation,Wales,W92000004,2020-06-23,5,1483
nation,England,E92000001,2020-06-22,14,38261
nation,Northern Ireland,N92000002,2020-06-22,0,545
nation,Scotland,S92000003,2020-06-22,0,2472
nation,Wales,W92000004,2020-06-22,1,1478
nation,England,E92000001,2020-06-21,39,38247
nation,Northern Ireland,N92000002,2020-06-21,1,545
nation,Scotland,S92000003,2020-06-21,2,2472
nation,Wales,W92000004,2020-06-21,1,1477
nation,England,E92000001,2020-06-20,122,38208
nation,Northern Ireland,N92000002,2020-06-20,1,544
nation,Scotland,S92000003,2020-06-20,6,2470
nation,Wales,W92000004,2020-06-20,1,1476
nation,England,E92000001,2020-06-19,167,38086
nation,Northern Ireland,N92000002,2020-06-19,0,543
nation,Scotland,S92000003,2020-06-19,2,2464
nation,Wales,W92000004,2020-06-19,4,1475
nation,England,E92000001,2020-06-18,122,37919
nation,Northern Ireland,N92000002,2020-06-18,1,543
nation,Scotland,S92000003,2020-06-18,9,2462
nation,Wales,W92000004,2020-06-18,5,1471
nation,England,E92000001,2020-06-17,168,37797
nation,Northern Ireland,N92000002,2020-06-17,1,542
nation,Scotland,S92000003,2020-06-17,5,2453
nation,Wales,W92000004,2020-06-17,10,1466
nation,England,E92000001,2020-06-16,228,37629
nation,Northern Ireland,N92000002,2020-06-16,0,541
nation,Scotland,S92000003,2020-06-16,0,2448
nation,Wales,W92000004,2020-06-16,8,1456
nation,England,E92000001,2020-06-15,33,37401
nation,Northern Ireland,N92000002,2020-06-15,0,541
nation,Scotland,S92000003,2020-06-15,1,2448
nation,Wales,W92000004,2020-06-15,4,1448
nation,England,E92000001,2020-06-14,26,37368
nation,Northern Ireland,N92000002,2020-06-14,2,541
nation,Scotland,S92000003,2020-06-14,5,2447
nation,Wales,W92000004,2020-06-14,3,1444
nation,England,E92000001,2020-06-13,173,37342
nation,Northern Ireland,N92000002,2020-06-13,1,539
nation,Scotland,S92000003,2020-06-13,3,2442
nation,Wales,W92000004,2020-06-13,6,1441
nation,England,E92000001,2020-06-12,188,37169
nation,Northern Ireland,N92000002,2020-06-12,1,538
nation,Scotland,S92000003,2020-06-12,5,2439
nation,Wales,W92000004,2020-06-12,10,1435
nation,England,E92000001,2020-06-11,134,36981
nation,Northern Ireland,N92000002,2020-06-11,0,537
nation,Scotland,S92000003,2020-06-11,12,2434
nation,Wales,W92000004,2020-06-11,6,1425
nation,England,E92000001,2020-06-10,234,36847
nation,Northern Ireland,N92000002,2020-06-10,0,537
nation,Scotland,S92000003,2020-06-10,7,2422
nation,Wales,W92000004,2020-06-10,9,1419
nation,England,E92000001,2020-06-09,280,36613
nation,Northern Ireland,N92000002,2020-06-09,0,537
nation,Scotland,S92000003,2020-06-09,0,2415
nation,Wales,W92000004,2020-06-09,9,1410
nation,England,E92000001,2020-06-08,52,36333
nation,Northern Ireland,N92000002,2020-06-08,0,537
nation,Scotland,S92000003,2020-06-08,0,2415
nation,Wales,W92000004,2020-06-08,3,1401
nation,England,E92000001,2020-06-07,65,36281
nation,Northern Ireland,N92000002,2020-06-07,1,537
nation,Scotland,S92000003,2020-06-07,6,2415
nation,Wales,W92000004,2020-06-07,5,1398
nation,England,E92000001,2020-06-06,182,36216
nation,Northern Ireland,N92000002,2020-06-06,1,536
nation,Scotland,S92000003,2020-06-06,14,2409
nation,Wales,W92000004,2020-06-06,10,1393
nation,England,E92000001,2020-06-05,344,36034
nation,Northern Ireland,N92000002,2020-06-05,1,535
nation,Scotland,S92000003,2020-06-05,9,2395
nation,Wales,W92000004,2020-06-05,4,1383
nation,England,E92000001,2020-06-04,150,35690
nation,Northern Ireland,N92000002,2020-06-04,8,534
nation,Scotland,S92000003,2020-06-04,11,2386
nation,Wales,W92000004,2020-06-04,8,1379
nation,England,E92000001,2020-06-03,334,35540
nation,Northern Ireland,N92000002,2020-06-03,2,526
nation,Scotland,S92000003,2020-06-03,12,2375
nation,Wales,W92000004,2020-06-03,17,1371
nation,England,E92000001,2020-06-02,317,35206
nation,Northern Ireland,N92000002,2020-06-02,1,524
nation,Scotland,S92000003,2020-06-02,1,2363
nation,Wales,W92000004,2020-06-02,7,1354
nation,England,E92000001,2020-06-01,96,34889
nation,Northern Ireland,N92000002,2020-06-01,1,523
nation,Scotland,S92000003,2020-06-01,9,2362
nation,Wales,W92000004,2020-06-01,5,1347
nation,England,E92000001,2020-05-31,81,34793
nation,Northern Ireland,N92000002,2020-05-31,1,522
nation,Scotland,S92000003,2020-05-31,22,2353
nation,Wales,W92000004,2020-05-31,11,1342
nation,England,E92000001,2020-05-30,198,34712
nation,Northern Ireland,N92000002,2020-05-30,3,521
nation,Scotland,S92000003,2020-05-30,15,2331
nation,Wales,W92000004,2020-05-30,14,1331
nation,England,E92000001,2020-05-29,349,34514
nation,Northern Ireland,N92000002,2020-05-29,2,518
nation,Scotland,S92000003,2020-05-29,12,2316
nation,Wales,W92000004,2020-05-29,10,1317
nation,England,E92000001,2020-05-28,387,34165
nation,Northern Ireland,N92000002,2020-05-28,2,516
nation,Scotland,S92000003,2020-05-28,13,2304
nation,Wales,W92000004,2020-05-28,14,1307
nation,England,E92000001,2020-05-27,414,33778
nation,Northern Ireland,N92000002,2020-05-27,0,514
nation,Scotland,S92000003,2020-05-27,18,2291
nation,Wales,W92000004,2020-05-27,11,1293
nation,England,E92000001,2020-05-26,117,33364
nation,Northern Ireland,N92000002,2020-05-26,8,514
nation,Scotland,S92000003,2020-05-26,3,2273
nation,Wales,W92000004,2020-05-26,8,1282
nation,England,E92000001,2020-05-25,105,33247
nation,Northern Ireland,N92000002,2020-05-25,1,506
nation,Scotland,S92000003,2020-05-25,9,2270
nation,Wales,W92000004,2020-05-25,7,1274
nation,England,E92000001,2020-05-24,417,33142
nation,Northern Ireland,N92000002,2020-05-24,1,505
nation,Scotland,S92000003,2020-05-24,16,2261
nation,Wales,W92000004,2020-05-24,7,1267
nation,England,E92000001,2020-05-23,250,32725
nation,Northern Ireland,N92000002,2020-05-23,3,504
nation,Scotland,S92000003,2020-05-23,24,2245
nation,Wales,W92000004,2020-05-23,6,1260
nation,England,E92000001,2020-05-22,307,32475
nation,Northern Ireland,N92000002,2020-05-22,7,501
nation,Scotland,S92000003,2020-05-22,37,2221
nation,Wales,W92000004,2020-05-22,7,1254
nation,England,E92000001,2020-05-21,274,32168
nation,Northern Ireland,N92000002,2020-05-21,5,494
nation,Scotland,S92000003,2020-05-21,50,2184
nation,Wales,W92000004,2020-05-21,9,1247
nation,England,E92000001,2020-05-20,319,31894
nation,Northern Ireland,N92000002,2020-05-20,7,489
nation,Scotland,S92000003,2020-05-20,29,2134
nation,Wales,W92000004,2020-05-20,14,1238
nation,England,E92000001,2020-05-19,523,31575
nation,Northern Ireland,N92000002,2020-05-19,6,482
nation,Scotland,S92000003,2020-05-19,2,2105
nation,Wales,W92000004,2020-05-19,17,1224
nation,England,E92000001,2020-05-18,144,31052
nation,Northern Ireland,N92000002,2020-05-18,3,476
nation,Scotland,S92000003,2020-05-18,9,2103
nation,Wales,W92000004,2020-05-18,4,1207
nation,England,E92000001,2020-05-17,113,30908
nation,Northern Ireland,N92000002,2020-05-17,4,473
nation,Scotland,S92000003,2020-05-17,41,2094
nation,Wales,W92000004,2020-05-17,12,1203
nation,England,E92000001,2020-05-16,401,30795
nation,Northern Ireland,N92000002,2020-05-16,15,469
nation,Scotland,S92000003,2020-05-16,46,2053
nation,Wales,W92000004,2020-05-16,18,1191
nation,England,E92000001,2020-05-15,336,30394
nation,Northern Ireland,N92000002,2020-05-15,5,454
nation,Scotland,S92000003,2020-05-15,34,2007
nation,Wales,W92000004,2020-05-15,9,1173
nation,England,E92000001,2020-05-14,355,30058
nation,Northern Ireland,N92000002,2020-05-14,2,449
nation,Scotland,S92000003,2020-05-14,61,1973
nation,Wales,W92000004,2020-05-14,10,1164
nation,England,E92000001,2020-05-13,415,29703
nation,Northern Ireland,N92000002,2020-05-13,9,447
nation,Scotland,S92000003,2020-05-13,50,1912
nation,Wales,W92000004,2020-05-13,22,1154
nation,England,E92000001,2020-05-12,606,29288
nation,Northern Ireland,N92000002,2020-05-12,3,438
nation,Scotland,S92000003,2020-05-12,5,1862
nation,Wales,W92000004,2020-05-12,16,1132
nation,England,E92000001,2020-05-11,191,28682
nation,Northern Ireland,N92000002,2020-05-11,5,435
nation,Scotland,S92000003,2020-05-11,10,1857
nation,Wales,W92000004,2020-05-11,5,1116
nation,England,E92000001,2020-05-10,217,28491
nation,Northern Ireland,N92000002,2020-05-10,4,430
nation,Scotland,S92000003,2020-05-10,36,1847
nation,Wales,W92000004,2020-05-10,12,1111
nation,England,E92000001,2020-05-09,283,28274
nation,Northern Ireland,N92000002,2020-05-09,4,426
nation,Scotland,S92000003,2020-05-09,49,1811
nation,Wales,W92000004,2020-05-09,9,1099
nation,England,E92000001,2020-05-08,536,27991
nation,Northern Ireland,N92000002,2020-05-08,4,422
nation,Scotland,S92000003,2020-05-08,59,1762
nation,Wales,W92000004,2020-05-08,28,1090
nation,England,E92000001,2020-05-07,425,27455
nation,Northern Ireland,N92000002,2020-05-07,14,418
nation,Scotland,S92000003,2020-05-07,83,1703
nation,Wales,W92000004,2020-05-07,18,1062
nation,England,E92000001,2020-05-06,570,27030
nation,Northern Ireland,N92000002,2020-05-06,17,404
nation,Scotland,S92000003,2020-05-06,44,1620
nation,Wales,W92000004,2020-05-06,21,1044
nation,England,E92000001,2020-05-05,657,26460
nation,Northern Ireland,N92000002,2020-05-05,6,387
nation,Scotland,S92000003,2020-05-05,5,1576
nation,Wales,W92000004,2020-05-05,26,1023
nation,England,E92000001,2020-05-04,257,25803
nation,Northern Ireland,N92000002,2020-05-04,5,381
nation,Scotland,S92000003,2020-05-04,12,1571
nation,Wales,W92000004,2020-05-04,14,997
nation,England,E92000001,2020-05-03,246,25546
nation,Northern Ireland,N92000002,2020-05-03,11,376
nation,Scotland,S92000003,2020-05-03,44,1559
nation,Wales,W92000004,2020-05-03,14,983
nation,England,E92000001,2020-05-02,519,25300
nation,Northern Ireland,N92000002,2020-05-02,18,365
nation,Scotland,S92000003,2020-05-02,40,1515
nation,Wales,W92000004,2020-05-02,44,969
nation,England,E92000001,2020-05-01,654,24781
nation,Northern Ireland,N92000002,2020-05-01,9,347
nation,Scotland,S92000003,2020-05-01,60,1475
nation,Wales,W92000004,2020-05-01,17,925
nation,England,E92000001,2020-04-30,560,24127
nation,Northern Ireland,N92000002,2020-04-30,9,338
nation,Scotland,S92000003,2020-04-30,83,1415
nation,Wales,W92000004,2020-04-30,22,908
nation,England,E92000001,2020-04-29,632,23567
nation,Northern Ireland,N92000002,2020-04-29,20,329
nation,Scotland,S92000003,2020-04-29,70,1332
nation,Wales,W92000004,2020-04-29,73,886
nation,England,E92000001,2020-04-28,871,22935
nation,Northern Ireland,N92000002,2020-04-28,10,309
nation,Scotland,S92000003,2020-04-28,13,1262
nation,Wales,W92000004,2020-04-28,17,813
nation,England,E92000001,2020-04-27,307,22064
nation,Northern Ireland,N92000002,2020-04-27,5,299
nation,Scotland,S92000003,2020-04-27,18,1249
nation,Wales,W92000004,2020-04-27,8,796
nation,England,E92000001,2020-04-26,343,21757
nation,Northern Ireland,N92000002,2020-04-26,16,294
nation,Scotland,S92000003,2020-04-26,47,1231
nation,Wales,W92000004,2020-04-26,14,788
nation,England,E92000001,2020-04-25,741,21414
nation,Northern Ireland,N92000002,2020-04-25,15,278
nation,Scotland,S92000003,2020-04-25,64,1184
nation,Wales,W92000004,2020-04-25,23,774
nation,England,E92000001,2020-04-24,825,20673
nation,Northern Ireland,N92000002,2020-04-24,13,263
nation,Scotland,S92000003,2020-04-24,58,1120
nation,Wales,W92000004,2020-04-24,110,751
nation,England,E92000001,2020-04-23,603,19848
nation,Northern Ireland,N92000002,2020-04-23,30,250
nation,Scotland,S92000003,2020-04-23,77,1062
nation,Wales,W92000004,2020-04-23,17,641
nation,England,E92000001,2020-04-22,739,19245
nation,Northern Ireland,N92000002,2020-04-22,13,220
nation,Scotland,S92000003,2020-04-22,70,985
nation,Wales,W92000004,2020-04-22,15,624
nation,England,E92000001,2020-04-21,1123,18506
nation,Northern Ireland,N92000002,2020-04-21,13,207
nation,Scotland,S92000003,2020-04-21,12,915
nation,Wales,W92000004,2020-04-21,25,609
nation,England,E92000001,2020-04-20,539,17383
nation,Northern Ireland,N92000002,2020-04-20,1,194
nation,Scotland,S92000003,2020-04-20,10,903
nation,Wales,W92000004,2020-04-20,9,584
nation,England,E92000001,2020-04-19,384,16844
nation,Northern Ireland,N92000002,2020-04-19,17,193
nation,Scotland,S92000003,2020-04-19,56,893
nation,Wales,W92000004,2020-04-19,41,575
nation,England,E92000001,2020-04-18,1011,16460
nation,Northern Ireland,N92000002,2020-04-18,18,176
nation,Scotland,S92000003,2020-04-18,58,837
nation,Wales,W92000004,2020-04-18,28,534
nation,England,E92000001,2020-04-17,827,15449
nation,Northern Ireland,N92000002,2020-04-17,18,158
nation,Scotland,S92000003,2020-04-17,80,779
nation,Wales,W92000004,2020-04-17,11,506
nation,England,E92000001,2020-04-16,907,14622
nation,Northern Ireland,N92000002,2020-04-16,6,140
nation,Scotland,S92000003,2020-04-16,84,699
nation,Wales,W92000004,2020-04-16,32,495
nation,England,E92000001,2020-04-15,732,13715
nation,Northern Ireland,N92000002,2020-04-15,10,134
nation,Scotland,S92000003,2020-04-15,40,615
nation,Wales,W92000004,2020-04-15,60,463
nation,England,E92000001,2020-04-14,1013,12983
nation,Northern Ireland,N92000002,2020-04-14,6,124
nation,Scotland,S92000003,2020-04-14,9,575
nation,Wales,W92000004,2020-04-14,19,403
nation,England,E92000001,2020-04-13,694,11970
nation,Northern Ireland,N92000002,2020-04-13,11,118
nation,Scotland,S92000003,2020-04-13,24,566
nation,Wales,W92000004,2020-04-13,15,384
nation,England,E92000001,2020-04-12,606,11276
nation,Northern Ireland,N92000002,2020-04-12,15,107
nation,Scotland,S92000003,2020-04-12,47,542
nation,Wales,W92000004,2020-04-12,18,369
nation,England,E92000001,2020-04-11,746,10670
nation,Northern Ireland,N92000002,2020-04-11,10,92
nation,Scotland,S92000003,2020-04-11,48,495
nation,Wales,W92000004,2020-04-11,36,351
nation,England,E92000001,2020-04-10,1038,9924
nation,Northern Ireland,N92000002,2020-04-10,4,82
nation,Scotland,S92000003,2020-04-10,81,447
nation,Wales,W92000004,2020-04-10,29,315
nation,England,E92000001,2020-04-09,994,8886
nation,Northern Ireland,N92000002,2020-04-09,5,78
nation,Scotland,S92000003,2020-04-09,70,366
nation,Wales,W92000004,2020-04-09,41,286
nation,England,E92000001,2020-04-08,924,7892
nation,Northern Ireland,N92000002,2020-04-08,3,73
nation,Scotland,S92000003,2020-04-08,74,296
nation,Wales,W92000004,2020-04-08,33,245
nation,England,E92000001,2020-04-07,1010,6968
nation,Northern Ireland,N92000002,2020-04-07,7,70
nation,Scotland,S92000003,2020-04-07,2,222
nation,Wales,W92000004,2020-04-07,19,212
nation,England,E92000001,2020-04-06,532,5958
nation,Northern Ireland,N92000002,2020-04-06,7,63
nation,Scotland,S92000003,2020-04-06,2,220
nation,Wales,W92000004,2020-04-06,27,193
nation,England,E92000001,2020-04-05,578,5426
nation,Northern Ireland,N92000002,2020-04-05,8,56
nation,Scotland,S92000003,2020-04-05,46,218
nation,Wales,W92000004,2020-04-05,12,166
nation,England,E92000001,2020-04-04,689,4848
nation,Northern Ireland,N92000002,2020-04-04,12,48
nation,Scotland,S92000003,2020-04-04,46,172
nation,Wales,W92000004,2020-04-04,13,154
nation,England,E92000001,2020-04-03,655,4159
nation,Northern Ireland,N92000002,2020-04-03,6,36
nation,Scotland,S92000003,2020-04-03,29,126
nation,Wales,W92000004,2020-04-03,24,141
nation,England,E92000001,2020-04-02,603,3504
nation,Northern Ireland,N92000002,2020-04-02,2,30
nation,Scotland,S92000003,2020-04-02,28,97
nation,Wales,W92000004,2020-04-02,19,117
nation,England,E92000001,2020-04-01,613,2901
nation,Northern Ireland,N92000002,2020-04-01,6,28
nation,Scotland,S92000003,2020-04-01,22,69
nation,Wales,W92000004,2020-04-01,29,98
nation,England,E92000001,2020-03-31,368,2288
nation,Northern Ireland,N92000002,2020-03-31,1,22
nation,Scotland,S92000003,2020-03-31,6,47
nation,Wales,W92000004,2020-03-31,7,69
nation,England,E92000001,2020-03-30,353,1920
nation,Northern Ireland,N92000002,2020-03-30,6,21
nation,Scotland,S92000003,2020-03-30,1,41
nation,Wales,W92000004,2020-03-30,14,62
nation,England,E92000001,2020-03-29,195,1567
nation,Northern Ireland,N92000002,2020-03-29,2,15
nation,Scotland,S92000003,2020-03-29,7,40
nation,Wales,W92000004,2020-03-29,10,48
nation,England,E92000001,2020-03-28,279,1372
nation,Northern Ireland,N92000002,2020-03-28,3,13
nation,Scotland,S92000003,2020-03-28,8,33
nation,Wales,W92000004,2020-03-28,4,38
nation,England,E92000001,2020-03-27,272,1093
nation,Northern Ireland,N92000002,2020-03-27,3,10
nation,Scotland,S92000003,2020-03-27,3,25
nation,Wales,W92000004,2020-03-27,6,34
nation,England,E92000001,2020-03-26,169,821
nation,Northern Ireland,N92000002,2020-03-26,2,7
nation,Scotland,S92000003,2020-03-26,6,22
nation,Wales,W92000004,2020-03-26,6,28
nation,England,E92000001,2020-03-25,178,652
nation,Northern Ireland,N92000002,2020-03-25,2,5
nation,Scotland,S92000003,2020-03-25,2,16
nation,Wales,W92000004,2020-03-25,5,22
nation,England,E92000001,2020-03-24,143,474
nation,Northern Ireland,N92000002,2020-03-24,1,3
nation,Scotland,S92000003,2020-03-24,4,14
nation,Wales,W92000004,2020-03-24,1,17
nation,England,E92000001,2020-03-23,67,331
nation,Northern Ireland,N92000002,2020-03-23,0,2
nation,Scotland,S92000003,2020-03-23,3,10
nation,Wales,W92000004,2020-03-23,4,16
nation,England,E92000001,2020-03-22,24,264
nation,Northern Ireland,N92000002,2020-03-22,1,2
nation,Scotland,S92000003,2020-03-22,1,7
nation,Wales,W92000004,2020-03-22,9,12
nation,England,E92000001,2020-03-21,54,240
nation,Northern Ireland,N92000002,2020-03-21,0,1
nation,Scotland,S92000003,2020-03-21,0,6
nation,Wales,W92000004,2020-03-21,2,3
nation,England,E92000001,2020-03-20,32,186
nation,Northern Ireland,N92000002,2020-03-20,,1
nation,Scotland,S92000003,2020-03-20,3,6
nation,Wales,W92000004,2020-03-20,0,1
nation,England,E92000001,2020-03-19,42,154
nation,Scotland,S92000003,2020-03-19,1,3
nation,Wales,W92000004,2020-03-19,0,1
nation,England,E92000001,2020-03-18,33,112
nation,Scotland,S92000003,2020-03-18,1,2
nation,Wales,W92000004,2020-03-18,0,1
nation,England,E92000001,2020-03-17,15,79
nation,Scotland,S92000003,2020-03-17,0,1
nation,Wales,W92000004,2020-03-17,,1
nation,England,E92000001,2020-03-16,22,64
nation,Scotland,S92000003,2020-03-16,0,1
nation,England,E92000001,2020-03-15,14,42
nation,Scotland,S92000003,2020-03-15,,1
nation,England,E92000001,2020-03-14,18,28
nation,England,E92000001,2020-03-13,1,10
nation,England,E92000001,2020-03-12,2,9
nation,England,E92000001,2020-03-11,0,7
nation,England,E92000001,2020-03-10,4,7
nation,England,E92000001,2020-03-09,1,3
nation,England,E92000001,2020-03-08,0,2
nation,England,E92000001,2020-03-07,1,2
nation,England,E92000001,2020-03-06,1,1
